SMILES,CF
NOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.70704
CN1CCC(NCc2ccc(F)cc2)CC1,0.11089
CC(C)(C)OC(=O)n1ncc2cc(N)ccc21,0.75147
c1ccc(-c2ccc3c(c2)[nH]c2ccccc23)cc1,1.64782
OC1CCCCC1NCc1ccccc1,0.1304
COc1ccc(CC2NCCc3cc(OC)c(OC)cc32)cc1OC,1.01201
COC(=O)c1c[nH]nn1,0.18477
c1ccc(CNC2CC2)cc1,0.16377
c1[nH]nc2c1CCCC2,0.07126
c1cc2cc3c(cc2[nH]1)OCO3,0.4676
CCOC(=O)C1CNc2ccccc2O1,0.37261
Nn1c(O)csc1=S,0.34342
COc1cncc(N)n1,0.32399
Cc1ccc(C2CCCN2)cc1,0.23579
O=c1cccc2n1CC1CNCC2C1,0.31457
O=[N+]([O-])c1cccc2[nH]nnc12,0.63267
O=[N+]([O-])c1ccc(F)cc1NCc1ccccc1,0.77189
COc1ccc(CNC2CC2)cc1,0.29354
c1cnc2[nH]nnc2c1,0.31621
Nn1nnc2ccccc21,0.35153
O=C(O)COc1ccc(Cl)cc1,0.35075
O=C(O)CCCC(=O)c1ccc(F)cc1,0.31848
O=C(O)Cc1ccc(Cl)cc1,0.30546
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,1.411
O=C(O)c1cccnc1F,0.16063
O=C(O)Cc1ccc(F)cc1,0.10318
O=C(O)c1ccc(F)cc1,0.22469
O=C(O)c1cccc(Cl)c1,0.42938
O=C(O)c1ccc(Cl)cc1,0.34545
O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1,0.76704
CC(=O)c1ccccc1F,0.38279
CC(=O)Cc1ccc(F)cc1,0.11252
OB(O)c1ccc(F)c(C(F)(F)F)c1,0.17211
COc1cccc(F)c1B(O)O,0.25747
N#Cc1ccc(F)c(B(O)O)c1,0.32797
CC1(C)OB(c2ccc(C(=O)O)cc2F)OC1(C)C,0.22499
CC(=O)c1ccc(F)c(B2OC(C)(C)C(C)(C)O2)c1,0.18441
CC1(C)OB(c2ccc(C(F)(F)F)c(F)c2)OC1(C)C,0.05092
CC1(C)OB(c2cc(F)cc(C(=O)O)c2)OC1(C)C,0.23071
O=Cc1cc(B(O)O)ccc1F,0.40852
O=C(O)c1ccc(B(O)O)cc1F,0.23035
COc1cc(F)cc(B(O)O)c1,0.29661
OB(O)c1ccc(F)cc1C(F)(F)F,0.12315
COC(=O)c1ccc(B(O)O)c(F)c1,0.3051
OB(O)c1cc(F)cc(C(F)(F)F)c1,0.17934
Cc1cc(F)ncc1B(O)O,0.15169
O=C1Cc2c(Cl)ncnc2N1,0.16177
Clc1ncnc2c1CCN(Cc1ccccc1)C2,0.26325
O=S1(=O)NC[C@@H](O)c2cc(Cl)sc21,0.25558
CC[C@@H]1C(=O)Nc2cnc(Cl)nc2N1C(C)C,0.63464
CCNc1nc(Cl)nc(NC(C)C)n1,0.47279
Cc1cccc(-c2nc(Cl)nc(-c3cccc(C)c3)n2)c1,1.05631
O=[N+]([O-])c1ccc2nc(Cl)sc2c1,0.64239
CCOC(=O)c1ccc2nc(Cl)sc2c1,0.69717
Cc1ccc2nc(Cl)sc2c1,0.60083
Nc1ccc(F)nc1Br,0.3078
O=C(O)c1nccnc1Cl,0.20486
N#Cc1cnc(Cl)cn1,0.27107
Clc1ncc[nH]1,0.04997
CCOC(=O)c1ncsc1Cl,0.30699
O=[N+]([O-])c1cnc(Cl)s1,0.31713
Clc1cncnc1,0.08467
CCOC(=O)c1cnc(Cl)nc1C(F)(F)F,0.23738
CC(C)(C)c1cc(Br)cc(C(C)(C)C)c1,0.47127
Cc1ccc(C(=O)O)cc1Br,0.52068
Cc1ccc(C#N)cc1Br,0.50701
Brc1cc(-c2ccccc2)cc(-c2ccccc2)c1,1.3767
Ic1c[nH]cn1,0.10162
O=c1[nH]cc(Br)cc1[N+](=O)[O-],0.49806
Brc1c2ccccc2cc2ccccc12,1.16686
COc1ccc2ccccc2c1Br,0.77975
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1.00894
Fc1cccc(F)c1Br,0.18497
Fc1c(F)c(F)c(Br)c(F)c1F,0.10366
Cc1noc(C)c1Br,0.07797
Cc1ccc2ccccc2c1Br,0.76175
COc1cc(C)c(Br)c(C)c1,0.44213
Cc1cc(O)cc(C)c1Br,0.46744
Cc1cc(C)c(Br)c(C)c1,0.45311
COc1c(C)c(Br)c(OC)c(OC)c1OC,0.55268
O=C1C=C(Cl)C(=O)c2ccccc21,0.67757
Clc1ccc2c(c1)Nc1ccccc1S2,1.09705
O=C1CCCNc2ccc(Cl)cc21,0.57769
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.99696
CC(=O)c1ccc(Br)cc1,0.43729
O=C(CCCl)c1ccccc1,0.35902
O=C(/C=C/c1ccccc1)c1ccc(Cl)cc1,1.1975
CC(=O)c1cccc(Br)n1,0.35005
