,CAS,SMILES,Exp. CF,Pred. CF,Exp. Conc. (mmol/ml),Pred. Conc. (mmol/ml)
20,53-16-7,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,0.38614,0.34655803,0.001494237568979,0.0016649162237096
21,58306-30-2,COCC(=O)Nc1cc(Sc2ccccc2)ccc1N=C(NC(=O)OC)NC(=O)OC,1.42782,1.3684989,0.0008331746867195,0.0008692880259178
22,79794-75-5,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0.92687,0.7935347,0.00108647108446,0.0012690221600627
23,364-62-5,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0.76089,0.80058694,0.0013342139145169,0.0012680514362848
24,126-07-8,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1.05245,1.0066158,0.0011792385973863,0.0012329354260065
25,378-44-9,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.36723,0.3059571,0.0010599617292664,0.0012722309400177
26,4394-00-7,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,0.87089,0.8928301,0.0013181159445966,0.0012857212464798
27,75330-75-5,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0.30454,0.36415288,0.0009195470489213,0.0007690114325833
28,5786-21-0,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.96109,1.3749045,0.0013217840412935,0.0009239613768868
29,97-77-8,CCN(CC)C(=S)SSC(=S)N(CC)CC,0.58899,0.69426763,0.0014567428309369,0.0011786360094013
30,155213-67-5,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,0.69688,0.53586876,0.0005603624046759,0.0007287383302127
31,50-33-9,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.63138,0.58158267,0.0012452129022216,0.001351822831679
32,522-66-7,CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.63788,0.83973604,0.0011640730302658,0.0008842553629386
33,90729-43-4,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,1.16078,0.8543057,0.0008005638013153,0.001087758092057
